spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DB,1.3,3.94,-4.2342,9.5013,2.0934,0.0033,15.3255,15.5591,15.6196,15.3611
DB,1.3,3.96,-4.1542,9.5013,2.0598,0.0033,15.1255,15.419,15.4583,15.25
DB,1.3,3.98,-4.0742,9.5012,2.0204,0.0033,14.9254,15.2843,15.3032,15.1439
DB,1.3,4,-3.9941,9.5012,1.9742,0.0033,14.7253,15.1564,15.1563,15.0431
DB,1.3,4.02,-3.914,9.5011,1.9202,0.0033,14.5251,15.0629,15.0413,14.98
DB,1.3,4.04,-3.834,9.501,1.8568,0.0033,14.3249,14.9404,14.9032,14.8812
DB,1.3,4.06,-3.7539,9.501,1.7861,0.0033,14.1247,14.8232,14.7713,14.7865
DB,1.3,4.08,-3.6738,9.5009,1.7104,0.0033,13.9245,14.7124,14.6467,14.6968
DB,1.3,4.1,-3.5937,9.5007,1.6354,0.0033,13.7242,14.6077,14.5291,14.6119
DB,1.3,4.12,-3.5136,9.5006,1.5635,0.0033,13.524,14.5073,14.4171,14.5292
DB,1.3,4.14,-3.4335,9.5006,1.4951,0.0033,13.3237,14.4097,14.309,14.4473
DB,1.3,4.16,-3.3534,9.5005,1.4291,0.0033,13.1235,14.3171,14.2068,14.3693
DB,1.3,4.18,-3.2733,9.5003,1.3645,0.0033,12.9232,14.2261,14.1073,14.2912
DB,1.3,4.2,-3.1932,9.5003,1.302,0.0033,12.7231,14.1358,14.0096,14.2119
DB,1.3,4.22,-3.1132,9.5002,1.2406,0.0033,12.5229,14.0462,13.9137,14.132
DB,1.3,4.24,-3.0331,9.5001,1.1805,0.0033,12.3227,13.9538,13.8157,14.0486
DB,1.3,4.26,-2.953,9.5,1.1217,0.0033,12.1224,13.8589,13.7155,13.962
DB,1.3,4.28,-2.8729,9.4999,1.0644,0.0033,11.9221,13.7635,13.6154,13.8744
DB,1.3,4.3,-2.7928,9.4998,1.0088,0.0033,11.7219,13.6695,13.5168,13.7878
DB,1.3,4.32,-2.7129,9.4999,0.9554,0.0033,11.5221,13.5789,13.422,13.7042
DB,1.3,4.34,-2.6333,9.5003,0.9044,0.0033,11.3231,13.4942,13.3333,13.6262
